[Seed 1] Epoch 001 | Train Loss: 2.0106 | Val Loss: 1.8975 | Val AUPRC: 0.0323 | Val ROC-AUC: 0.7442
[Seed 1] Epoch 002 | Train Loss: 1.9029 | Val Loss: 1.8944 | Val AUPRC: 0.0328 | Val ROC-AUC: 0.7459
[Seed 1] Epoch 003 | Train Loss: 1.8869 | Val Loss: 1.8983 | Val AUPRC: 0.0327 | Val ROC-AUC: 0.7464
[Seed 1] Epoch 004 | Train Loss: 1.8701 | Val Loss: 1.8927 | Val AUPRC: 0.0338 | Val ROC-AUC: 0.7504
[Seed 1] Epoch 005 | Train Loss: 1.8617 | Val Loss: 1.8837 | Val AUPRC: 0.0337 | Val ROC-AUC: 0.7495
[Seed 1] Epoch 006 | Train Loss: 1.8592 | Val Loss: 1.8778 | Val AUPRC: 0.0339 | Val ROC-AUC: 0.7518
[Seed 1] Epoch 007 | Train Loss: 1.8476 | Val Loss: 1.8724 | Val AUPRC: 0.0340 | Val ROC-AUC: 0.7520
[Seed 1] Epoch 008 | Train Loss: 1.8432 | Val Loss: 1.8750 | Val AUPRC: 0.0347 | Val ROC-AUC: 0.7526
[Seed 1] Epoch 009 | Train Loss: 1.8401 | Val Loss: 1.8696 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7516
[Seed 1] Epoch 010 | Train Loss: 1.8397 | Val Loss: 1.8794 | Val AUPRC: 0.0336 | Val ROC-AUC: 0.7525
[Seed 1] Epoch 011 | Train Loss: 1.8314 | Val Loss: 1.8975 | Val AUPRC: 0.0348 | Val ROC-AUC: 0.7527
[Seed 1] Epoch 012 | Train Loss: 1.8283 | Val Loss: 1.8711 | Val AUPRC: 0.0345 | Val ROC-AUC: 0.7532
[Seed 1] Epoch 013 | Train Loss: 1.8292 | Val Loss: 1.8738 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7531
[Seed 1] Epoch 014 | Train Loss: 1.8258 | Val Loss: 1.8674 | Val AUPRC: 0.0349 | Val ROC-AUC: 0.7544
[Seed 1] Epoch 015 | Train Loss: 1.8214 | Val Loss: 1.8687 | Val AUPRC: 0.0352 | Val ROC-AUC: 0.7546
